,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 11:07:00,106.404,0.0,0.0010057509504401557,14.883802758558142,1.82061634545126e-05,7.179792862952562e-05,8.526164410534637e-05,121.2888037670606,0.6847832191003873,0.0004752900239309359
2017-01-07 11:08:00,107.83,0.0,0.0010868070787981483,13.457614664518317,1.82061634545126e-05,7.092993044121896e-05,8.612029186811038e-05,121.28869845579509,0.6847826245245884,0.0004754092104742649
2017-01-07 11:09:00,109.929,0.0,0.0012619210476284178,11.358237116324089,1.82061634545126e-05,6.889048596645534e-05,8.809880064512249e-05,121.28850003952294,0.6847815042881829,0.00047559550313419066
2017-01-07 11:10:00,112.711,0.0,0.0015382139954077873,8.575570941454949,1.9042488984225196e-05,6.454942503295318e-05,9.246466413346554e-05,121.28811802820047,0.6847793474943568,0.00047592708092976084
2017-01-07 11:11:00,112.437,0.0,0.0014926264968623574,8.849679063883924,1.9042488984225196e-05,6.510011223584736e-05,9.191575937400506e-05,121.28817946353894,0.6847796943515071,0.00047624102888999947
2017-01-07 11:12:00,112.396,0.0,0.0014846628053368789,8.890697486797961,1.9042488984225196e-05,6.520587302900988e-05,9.18041491802498e-05,121.28818970539047,0.6847797521758721,0.00047655063190063393
2017-01-07 11:13:00,113.508,0.0,0.0016855476360054867,7.778225874243484,1.9042488984225196e-05,6.29184805308707e-05,9.407186794015368e-05,121.28792353277791,0.6847782493946359,0.00047693627015125
2017-01-07 11:14:00,112.738,0.0,0.001515044046911338,8.548626510856616,1.9042488984225196e-05,6.469545314691575e-05,9.23035823946987e-05,121.28815012054379,0.6847795286841903,0.0004772627355892202
2017-01-07 11:15:00,115.506,0.0,0.0023987468389970973,5.778442509978912,1.9042488984225196e-05,5.605033985422067e-05,0.00010094454017975499,121.28686710852925,0.6847722849397542,0.0004778776848463782
2017-01-07 11:16:00,113.821,0.0,0.0017219494687325293,7.465122222067721,1.9042488984225196e-05,6.244515830527609e-05,9.45495740805516e-05,121.28785723346324,0.684777875076012,0.00047827991301193046
2017-01-07 11:17:00,117.375,0.0,0.004266989267139213,3.9048389586769288,1.9042488984225196e-05,4.398744844146136e-05,0.0001129132391271241,121.28415583124577,0.6847569773670155,0.0004792959963429966
2017-01-07 11:18:00,116.742,0.0,0.0033862491947272136,4.540037138872398,1.9042488984225196e-05,4.8389753009052424e-05,0.00010858213510145089,121.28546453796024,0.6847643661808956,0.00048016627044685634
2017-01-07 11:19:00,117.826,0.0,0.005280371623825404,3.451218436441514,1.9042488984225196e-05,4.075776384574764e-05,0.00011615396908480028,121.28255516178159,0.6847479401636268,0.0004812903264688438
2017-01-07 11:20:00,116.07,0.0,0.002798210056325347,5.213493984360846,1.8270496187567416e-05,5.342821620208579e-05,0.00010352603877807556,121.28632402174355,0.6847692187316144,0.00048199215162314426
2017-01-07 11:21:00,117.658,0.0,0.004908568555202307,3.6202232306722726,1.8270496187567416e-05,4.237506003886147e-05,0.00011453883844047327,121.28318569250969,0.6847515000706283,0.00048306298346149755
2017-01-07 11:22:00,119.188,0.0,0.017051634131523087,2.0615495683620555,1.8270496187567416e-05,3.658342846357903e-05,0.00012062022974442107,121.26666696879867,0.6846582371770477,0.00048433098923133546
2017-01-07 11:23:00,118.781,0.0,0.011109615800720384,2.482292335944174,1.8270496187567416e-05,3.676762717020319e-05,0.00012035192681012993,121.27446726554835,0.684702276792843,0.00048559151531512386
2017-01-07 11:24:00,120.057,0.0,0.03604388301465581,1.1472437953385946,1.8270496187567416e-05,3.6163130448298335e-05,0.00012121232210757807,121.24035445704872,0.6845096796355506,0.0004868762695301027
2017-01-07 11:25:00,119.815,0.0,0.03056422890612783,1.402000196481034,1.8270496187567416e-05,3.6683305632954235e-05,0.00012068516463839508,121.24763015674998,0.6845507574342252,0.0004881435512047202
